Neighborhood,OverallQual,YearBuilt,YearRemodAdd,ExterQual,Foundation,BsmtQual,TotalBsmtSF,1stFlrSF,GrLivArea,totalLivingArea,FullBath,KitchenQual,TotRmsAbvGrd,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,SalePrice
BrkSide,6,1934,1950,TA,PConc,TA,816,816,1176,1992,1,TA,6,Gd,Detchd,1985,Unf,2,528,34900-124000
NAmes,5,1958,1958,TA,CBlock,TA,912,912,912,1824,1,TA,5,NA,Attchd,1958,RFn,1,275,34900-124000
OldTown,6,1910,1993,TA,CBlock,TA,684,684,1368,2052,1,TA,7,NA,Detchd,1930,Unf,1,216,34900-124000
OldTown,5,1948,1950,TA,CBlock,TA,789,789,789,1578,1,TA,5,NA,Detchd,1948,Unf,1,250,34900-124000
IDOTRR,5,1919,2005,TA,CBlock,TA,793,997,1517,2310,2,Fa,7,NA,NA,?,NA,0,0,34900-124000
NAmes,4,1971,1971,TA,CBlock,TA,864,864,864,1728,1,TA,5,Po,NA,?,NA,0,0,34900-124000
BrkSide,5,1936,1950,TA,BrkTil,Gd,896,896,1344,2240,1,TA,7,NA,Detchd,1936,Unf,1,240,34900-124000
SWISU,6,1936,1950,TA,BrkTil,TA,1064,1166,1639,2703,1,TA,6,NA,Detchd,1936,Unf,1,240,34900-124000
OldTown,5,1927,1950,TA,CBlock,TA,1008,1028,1028,2036,1,TA,5,Gd,Detchd,1927,Unf,2,360,34900-124000
MeadowV,5,1976,1976,TA,PConc,Gd,264,616,1304,1568,1,TA,4,Gd,BuiltIn,1976,Fin,1,336,34900-124000
Mitchel,5,1960,2006,TA,Slab,NA,0,1771,1771,1771,1,TA,9,TA,Attchd,1960,Unf,2,336,34900-124000
NAmes,4,1955,1955,TA,CBlock,TA,1005,1005,1005,2010,1,Fa,5,TA,Detchd,1977,Unf,2,672,34900-124000
OldTown,6,1926,2004,TA,CBlock,TA,818,818,1224,2042,1,TA,5,NA,Detchd,1926,Unf,1,210,34900-124000
NAmes,5,1964,1964,TA,CBlock,TA,912,912,912,1824,1,TA,5,NA,Attchd,1964,Unf,1,288,34900-124000
Edwards,5,1955,1990,TA,CBlock,TA,864,864,864,1728,1,TA,5,NA,Detchd,1957,Unf,2,572,34900-124000
OldTown,6,1920,1950,TA,BrkTil,Fa,648,734,1118,1766,1,TA,6,NA,Detchd,1990,Unf,2,440,34900-124000
Edwards,5,1918,1950,TA,BrkTil,TA,686,686,1250,1936,1,Fa,7,NA,Detchd,1955,Unf,1,280,34900-124000
NAmes,5,1953,1996,Gd,Stone,TA,105,910,910,1015,1,Gd,5,NA,Attchd,1953,Unf,2,414,34900-124000
NAmes,4,1970,1970,TA,CBlock,TA,864,864,864,1728,1,TA,5,NA,Attchd,1972,Unf,1,280,34900-124000
BrkSide,5,1958,2008,TA,CBlock,TA,858,858,858,1716,1,TA,4,NA,NA,?,NA,0,0,34900-124000
OldTown,7,1926,1950,TA,PConc,TA,572,572,1111,1683,1,TA,5,Gd,Detchd,1982,Unf,1,288,34900-124000
OldTown,6,1910,2003,TA,CBlock,TA,485,1001,1635,2120,1,Gd,5,NA,Attchd,1950,Unf,1,255,34900-124000
OldTown,5,1954,2000,TA,CBlock,TA,833,833,833,1666,1,Gd,4,NA,Detchd,1955,Unf,1,326,34900-124000
BrkSide,5,1925,1997,TA,BrkTil,TA,884,884,1348,2232,1,TA,5,Fa,Detchd,1960,Unf,1,216,34900-124000
Edwards,5,1941,1960,TA,CBlock,TA,984,984,1604,2588,2,TA,6,NA,Detchd,1977,Unf,2,660,34900-124000
NAmes,5,1965,1965,TA,CBlock,TA,925,925,925,1850,1,TA,5,NA,Detchd,1965,Unf,1,429,34900-124000
OldTown,6,1880,1950,TA,BrkTil,TA,1008,1178,2210,3218,2,Fa,8,NA,Detchd,1930,Unf,1,205,34900-124000
BrkSide,5,1939,1950,TA,BrkTil,TA,991,1077,1077,2068,1,TA,5,TA,Attchd,1939,RFn,1,205,34900-124000
BrDale,6,1972,2007,TA,CBlock,TA,483,483,987,1470,1,Gd,5,NA,Detchd,1972,Unf,1,264,34900-124000
Edwards,4,1955,1955,TA,CBlock,TA,1440,1440,1440,2880,2,Fa,8,NA,NA,?,NA,0,0,34900-124000
NAmes,5,1954,1954,TA,CBlock,TA,936,1128,1128,2064,1,TA,5,NA,Attchd,1954,Unf,1,286,34900-124000
BrDale,6,1972,1972,TA,CBlock,TA,672,672,1218,1890,1,TA,7,NA,Detchd,1972,Unf,1,264,34900-124000
Edwards,5,1947,2008,TA,CBlock,TA,698,698,698,1396,1,TA,4,NA,NA,?,NA,0,0,34900-124000
IDOTRR,6,1920,1950,TA,BrkTil,TA,1012,1012,1012,2024,1,TA,6,Gd,Detchd,1920,Unf,1,308,34900-124000
NAmes,5,1947,1950,TA,CBlock,TA,832,832,1216,2048,1,TA,6,NA,Detchd,1947,Unf,1,336,34900-124000
Edwards,6,1990,1990,TA,CBlock,Gd,816,816,816,1632,1,TA,5,NA,NA,?,NA,0,0,34900-124000
Sawyer,4,1961,1961,TA,CBlock,TA,1029,1029,1029,2058,1,TA,5,NA,Attchd,1961,Unf,1,261,34900-124000
SWISU,4,1912,1950,Gd,PConc,TA,795,954,2230,3025,1,TA,10,NA,Detchd,1997,Unf,1,440,34900-124000
SawyerW,5,1979,1979,TA,Slab,NA,0,1535,1535,1535,2,TA,8,NA,Attchd,1979,Unf,2,400,34900-124000
SawyerW,5,1979,1979,TA,Slab,NA,0,1535,1535,1535,2,TA,8,NA,Attchd,1979,Unf,2,410,34900-124000
NAmes,5,1964,1964,TA,CBlock,TA,1728,1728,1728,3456,2,TA,10,NA,Detchd,2002,Unf,1,352,34900-124000
Edwards,5,1900,1950,TA,BrkTil,TA,861,961,1367,2228,1,TA,7,NA,Detchd,1978,Unf,1,384,34900-124000
BrkSide,6,1926,2004,Gd,PConc,TA,884,904,904,1788,1,TA,4,NA,Detchd,1926,Unf,1,180,34900-124000
NAmes,6,1950,1950,TA,CBlock,TA,1032,1032,1252,2284,1,TA,6,NA,Attchd,1950,Unf,1,288,34900-124000
NAmes,5,1950,1950,TA,CBlock,TA,876,988,988,1864,1,TA,6,NA,Attchd,1950,Unf,1,276,34900-124000
Edwards,4,1954,1954,TA,CBlock,TA,948,948,948,1896,1,TA,5,TA,Detchd,1956,Unf,1,280,34900-124000
OldTown,5,1940,1992,TA,CBlock,TA,788,804,804,1592,1,Gd,4,Gd,Attchd,1940,Unf,1,240,34900-124000
NAmes,6,1948,1950,TA,CBlock,TA,1082,1082,1082,2164,1,TA,5,Gd,Detchd,1948,Unf,1,240,34900-124000
IDOTRR,6,1937,1950,TA,BrkTil,TA,780,780,1376,2156,2,TA,7,Gd,Detchd,1937,Unf,1,198,34900-124000
NAmes,5,1971,1971,TA,CBlock,TA,950,950,950,1900,1,TA,5,NA,Detchd,1981,Unf,1,280,34900-124000
Mitchel,5,1984,1985,TA,CBlock,TA,876,923,923,1799,1,TA,5,NA,Attchd,1984,Unf,1,264,34900-124000
BrDale,5,1972,1972,TA,CBlock,TA,630,630,1302,1932,2,TA,6,NA,Detchd,1972,Unf,1,264,34900-124000
Crawfor,5,1938,1950,TA,PConc,Fa,920,954,954,1874,1,Fa,5,Gd,Basment,1938,Unf,1,240,34900-124000
OldTown,5,1939,1950,TA,CBlock,Gd,793,793,1118,1911,1,TA,5,Gd,Detchd,1939,Unf,2,410,34900-124000
SawyerW,5,1965,1965,TA,CBlock,TA,828,965,965,1793,1,TA,6,NA,Detchd,1979,Unf,1,300,34900-124000
Edwards,5,1957,2006,TA,PConc,NA,0,1340,1340,1340,1,TA,7,Gd,Attchd,1957,RFn,1,252,34900-124000
SawyerW,6,1980,1980,TA,CBlock,Gd,626,626,1217,1843,1,TA,6,TA,Attchd,1980,RFn,1,288,34900-124000
OldTown,3,1948,2002,TA,CBlock,TA,649,679,1183,1832,1,TA,6,NA,Detchd,1981,Unf,1,308,34900-124000
NAmes,5,1958,1985,TA,CBlock,TA,912,912,912,1824,1,TA,5,NA,Attchd,1958,Fin,1,297,34900-124000
NAmes,6,1959,1959,TA,CBlock,TA,864,864,864,1728,1,Gd,4,NA,Attchd,1959,Unf,1,288,34900-124000
OldTown,5,1920,1950,TA,BrkTil,TA,1120,1130,1130,2250,1,TA,5,Gd,Detchd,1970,Unf,2,720,34900-124000
BrkSide,6,1929,1950,TA,BrkTil,TA,862,950,1158,2020,1,TA,5,Gd,BuiltIn,1929,RFn,1,208,34900-124000
IDOTRR,5,1940,1955,TA,CBlock,TA,740,778,778,1518,1,TA,4,Gd,Detchd,1966,Fin,1,924,34900-124000
NAmes,4,1970,1970,TA,CBlock,TA,864,864,864,1728,1,Gd,5,NA,Detchd,1989,Unf,2,660,34900-124000
IDOTRR,6,1930,2007,Gd,BrkTil,TA,816,816,816,1632,1,TA,5,NA,Detchd,2002,Unf,1,432,34900-124000
NAmes,4,1971,1971,TA,PConc,TA,864,864,864,1728,1,TA,5,NA,Detchd,1974,Unf,2,528,34900-124000
BrkSide,6,1916,1950,TA,BrkTil,TA,952,952,952,1904,1,Fa,4,Gd,Detchd,1916,Unf,1,192,34900-124000
Sawyer,5,1957,1996,TA,CBlock,Gd,1392,1392,1392,2784,1,TA,5,Gd,Detchd,1957,Unf,2,528,34900-124000
BrkSide,4,1946,1950,TA,CBlock,TA,747,774,1230,1977,1,TA,5,NA,Detchd,1946,Unf,1,305,34900-124000
CollgCr,5,1975,1975,TA,CBlock,TA,969,969,969,1938,1,TA,5,NA,Attchd,1975,Unf,2,440,34900-124000
Sawyer,5,1967,1967,TA,CBlock,TA,882,900,900,1782,1,TA,5,NA,Detchd,1970,Unf,1,280,34900-124000
OldTown,7,1910,1950,Fa,CBlock,TA,925,964,1889,2814,1,TA,9,Gd,Detchd,1960,Unf,1,308,34900-124000
OldTown,8,1872,1987,TA,BrkTil,TA,684,938,2358,3042,2,TA,8,NA,NA,?,NA,0,0,34900-124000
BrDale,5,1971,1971,TA,CBlock,TA,765,765,1365,2130,1,TA,6,NA,Detchd,1971,Unf,2,440,34900-124000
OldTown,4,1885,1950,TA,PConc,TA,777,1246,2290,3067,2,TA,11,NA,Detchd,1971,Unf,2,560,34900-124000
NAmes,5,1949,2006,TA,CBlock,TA,672,672,924,1596,1,TA,6,Po,Detchd,2003,Unf,2,576,34900-124000
NAmes,5,1953,1953,TA,PConc,TA,608,1319,1319,1927,1,TA,5,NA,Attchd,1953,Unf,1,270,34900-124000
CollgCr,5,1972,1972,TA,CBlock,TA,894,894,894,1788,1,TA,6,NA,Detchd,1985,RFn,2,600,34900-124000
NAmes,4,1971,1971,TA,CBlock,TA,858,872,872,1730,1,TA,5,NA,Detchd,1974,Unf,4,480,34900-124000
NAmes,5,1967,1967,TA,CBlock,TA,864,900,900,1764,1,TA,6,Po,Attchd,1967,RFn,1,288,34900-124000
Edwards,5,1952,1952,TA,PConc,Ex,980,1148,1148,2128,1,TA,6,NA,Detchd,1952,Unf,1,308,34900-124000
CollgCr,4,1994,1995,TA,PConc,Gd,990,990,990,1980,1,TA,5,NA,NA,?,NA,0,0,34900-124000
CollgCr,5,1978,1978,TA,CBlock,Gd,1040,1040,1040,2080,2,TA,5,NA,NA,?,NA,0,0,34900-124000
OldTown,5,1880,1991,TA,BrkTil,Fa,636,1089,1750,2386,1,Ex,8,NA,Detchd,1937,Unf,1,240,34900-124000
Blueste,6,1980,1980,TA,CBlock,Gd,561,561,1229,1790,1,TA,5,TA,Attchd,1980,Fin,2,462,34900-124000
NAmes,6,1950,1950,TA,CBlock,TA,932,932,932,1864,1,Gd,4,Gd,Attchd,1950,Unf,1,306,34900-124000
NAmes,5,1967,1967,TA,CBlock,TA,1584,1584,1584,3168,2,TA,8,NA,Detchd,1967,Unf,3,792,34900-124000
NAmes,5,1963,1963,TA,CBlock,TA,1144,1144,1144,2288,1,TA,6,NA,Detchd,1962,Unf,1,336,34900-124000
Mitchel,5,1982,1982,TA,CBlock,TA,816,816,816,1632,1,TA,5,NA,Attchd,1982,Unf,1,264,124500-146800
OldTown,5,1952,1952,TA,CBlock,TA,960,960,1960,2920,2,TA,10,NA,Detchd,1952,Unf,2,400,124500-146800
NAmes,5,1959,1959,TA,CBlock,TA,1041,1041,1041,2082,1,TA,6,NA,Attchd,1959,RFn,1,270,124500-146800
NAmes,4,1970,1970,TA,CBlock,TA,864,864,864,1728,1,TA,5,NA,Detchd,1994,Unf,2,463,124500-146800
CollgCr,5,1972,1972,TA,CBlock,TA,780,780,780,1560,1,TA,4,NA,Detchd,1973,Unf,1,352,124500-146800
OldTown,5,1890,1996,TA,BrkTil,TA,1088,1188,1869,2957,1,TA,7,NA,Detchd,1963,Unf,2,456,124500-146800
Sawyer,5,1963,1963,TA,CBlock,TA,1728,1728,1728,3456,2,TA,10,NA,Detchd,1963,Unf,2,504,124500-146800
OldTown,6,1923,1950,TA,BrkTil,TA,1200,1200,1200,2400,1,TA,7,NA,Detchd,1923,Unf,1,312,124500-146800
Sawyer,5,1967,1967,TA,CBlock,TA,912,912,912,1824,1,TA,5,Fa,Detchd,1974,Unf,1,336,124500-146800
SawyerW,6,1984,1984,TA,CBlock,Gd,744,752,752,1496,1,TA,4,NA,Attchd,1984,Unf,1,264,124500-146800
Edwards,6,1976,1976,TA,CBlock,TA,1041,1125,1125,2166,1,TA,6,Fa,Detchd,1977,Unf,1,352,124500-146800
OldTown,5,1955,1995,TA,CBlock,TA,825,825,825,1650,1,TA,4,NA,Detchd,1963,RFn,2,720,124500-146800
Edwards,5,1950,1950,TA,CBlock,TA,1164,1164,1164,2328,1,TA,5,NA,Detchd,1950,Unf,1,240,124500-146800
OldTown,5,1925,1994,TA,PConc,TA,702,842,1472,2174,1,Gd,6,NA,Detchd,1925,Unf,1,250,124500-146800
Sawyer,5,1966,1966,TA,CBlock,TA,894,894,894,1788,1,TA,5,NA,Detchd,1966,RFn,1,384,124500-146800
BrDale,5,1970,1970,TA,CBlock,TA,765,765,1365,2130,1,TA,7,NA,Attchd,1970,Unf,2,440,124500-146800
Sawyer,5,1967,1967,TA,CBlock,TA,876,902,902,1778,1,TA,6,NA,Attchd,1967,Unf,1,288,124500-146800
IDOTRR,5,1938,1995,TA,CBlock,TA,803,803,1360,2163,1,Gd,6,NA,Detchd,1951,Unf,1,297,124500-146800
IDOTRR,4,1922,2007,TA,BrkTil,TA,796,796,1154,1950,1,Gd,7,NA,Detchd,1922,Unf,1,240,124500-146800
OldTown,4,1910,1950,TA,CBlock,Fa,622,741,1363,1985,1,TA,6,NA,Detchd,1966,Unf,2,528,124500-146800
Edwards,5,1940,1950,TA,BrkTil,TA,756,756,1134,1890,1,TA,7,NA,Detchd,1940,Unf,1,240,124500-146800
Mitchel,5,1977,1977,TA,CBlock,NA,0,1302,1734,1734,2,Gd,8,NA,Attchd,1977,Unf,2,539,124500-146800
CollgCr,5,1994,1994,TA,PConc,Gd,990,990,990,1980,1,TA,5,NA,Attchd,1996,Unf,1,299,124500-146800
OldTown,3,1955,2005,TA,CBlock,TA,1162,1163,1163,2325,1,TA,6,NA,Attchd,1955,Unf,1,220,124500-146800
NAmes,5,1960,1960,TA,CBlock,TA,1065,1065,1065,2130,1,TA,6,NA,Detchd,1974,Unf,2,461,124500-146800
Sawyer,5,1966,1966,TA,CBlock,TA,955,955,955,1910,1,TA,6,NA,Attchd,1966,Unf,1,386,124500-146800
BrkSide,5,1948,2001,TA,CBlock,TA,672,1072,1285,1957,1,TA,6,NA,Detchd,1948,Unf,1,240,124500-146800
BrkSide,5,1908,1991,TA,PConc,Fa,504,936,1252,1756,1,TA,5,NA,Attchd,1986,Unf,2,576,124500-146800
CollgCr,5,1972,1972,TA,CBlock,TA,864,864,864,1728,1,TA,5,NA,Detchd,1989,Unf,1,352,124500-146800
SWISU,5,1924,1950,TA,BrkTil,TA,1026,1026,1691,2717,2,Gd,6,Gd,Detchd,1924,Unf,1,308,124500-146800
Sawyer,5,1962,2010,TA,CBlock,TA,1040,1040,1040,2080,1,TA,6,NA,Detchd,1962,Unf,1,260,124500-146800
IDOTRR,6,1914,2006,TA,PConc,TA,684,773,1355,2039,1,Gd,7,NA,NA,?,NA,0,0,124500-146800
NAmes,5,1960,1960,TA,CBlock,TA,1075,1507,1507,2582,2,TA,7,NA,Basment,1960,Unf,1,404,124500-146800
MeadowV,5,1977,1977,TA,PConc,TA,757,925,1475,2232,2,TA,6,TA,Attchd,1977,RFn,1,336,124500-146800
Edwards,5,1940,1999,TA,BrkTil,TA,644,808,1355,1999,2,TA,6,NA,NA,?,NA,0,0,124500-146800
Edwards,6,1956,1956,TA,CBlock,TA,1436,1689,1689,3125,1,TA,7,Gd,Attchd,1956,Unf,2,480,124500-146800
NAmes,6,1959,1959,TA,CBlock,TA,864,864,864,1728,1,TA,5,NA,Detchd,2008,Unf,1,300,124500-146800
Edwards,6,1975,1975,TA,CBlock,Gd,945,980,980,1925,2,TA,4,NA,NA,?,NA,0,0,124500-146800
BrkSide,6,1931,1950,TA,BrkTil,TA,884,959,1367,2251,1,TA,6,Gd,Detchd,1978,Unf,1,560,124500-146800
NPkVill,6,1977,1977,TA,CBlock,Gd,1069,1069,1069,2138,2,TA,4,Fa,Attchd,1977,RFn,2,440,124500-146800
NPkVill,6,1976,1976,TA,CBlock,Gd,1078,958,958,2036,2,TA,5,TA,Attchd,1977,RFn,2,440,124500-146800
BrkSide,6,1920,1999,TA,BrkTil,Fa,611,751,1362,1973,2,TA,6,NA,Detchd,1920,Fin,2,502,124500-146800
SWISU,6,1915,1950,TA,PConc,Gd,806,841,1647,2453,1,Fa,6,NA,Detchd,1920,Unf,1,216,124500-146800
OldTown,6,1914,2001,TA,CBlock,TA,742,742,1484,2226,2,TA,9,Gd,NA,?,NA,0,0,124500-146800
Sawyer,4,1950,1995,TA,CBlock,Gd,1067,1067,1067,2134,2,Gd,4,NA,Attchd,1996,Unf,2,436,124500-146800
NAmes,5,1954,1954,TA,CBlock,TA,1056,1063,1063,2119,1,TA,6,NA,Attchd,1954,RFn,1,280,124500-146800
BrkSide,4,1936,1950,TA,BrkTil,TA,672,757,1324,1996,1,TA,6,NA,Detchd,1936,Unf,1,240,124500-146800
CollgCr,5,1976,1976,TA,CBlock,TA,894,894,894,1788,1,TA,5,NA,Attchd,1976,Unf,1,308,124500-146800
OldTown,5,1941,1950,TA,CBlock,TA,720,854,1382,2102,1,TA,7,NA,Detchd,1991,Unf,2,660,124500-146800
Sawyer,5,1961,1961,TA,CBlock,TA,988,988,988,1976,1,TA,5,NA,Detchd,1963,Unf,2,572,124500-146800
CollgCr,5,1969,1969,TA,CBlock,Gd,971,971,971,1942,1,TA,5,Po,Attchd,1969,Unf,1,300,124500-146800
CollgCr,5,1972,1972,TA,CBlock,TA,864,864,864,1728,1,TA,5,NA,Attchd,1972,RFn,1,288,124500-146800
NAmes,5,1956,1956,TA,CBlock,TA,1050,1050,1050,2100,1,TA,5,NA,Attchd,1956,Unf,1,338,124500-146800
NAmes,4,1959,1959,TA,CBlock,TA,950,1225,1225,2175,1,TA,6,NA,NA,?,NA,0,0,124500-146800
Edwards,5,1956,1956,TA,CBlock,TA,1144,1144,1144,2288,1,TA,6,NA,Attchd,1956,Unf,1,596,124500-146800
NAmes,6,1965,1979,TA,CBlock,Gd,1021,1465,2380,3401,2,TA,7,Po,CarPort,1965,Unf,2,596,124500-146800
BrkSide,4,1970,1970,TA,CBlock,TA,960,960,960,1920,1,TA,6,NA,Detchd,1970,Unf,2,576,124500-146800
Sawyer,4,1961,1961,TA,CBlock,TA,1040,1120,1120,2160,1,Fa,5,NA,Attchd,1961,RFn,2,544,124500-146800
NAmes,5,1950,2002,TA,CBlock,TA,864,864,864,1728,1,Gd,5,NA,Detchd,1980,RFn,2,720,124500-146800
NAmes,5,1956,2000,TA,CBlock,TA,936,936,936,1872,1,TA,4,NA,Attchd,1956,Fin,1,308,124500-146800
Sawyer,5,1968,1968,TA,CBlock,Gd,894,894,894,1788,1,TA,5,Po,Attchd,1968,Fin,2,450,124500-146800
Sawyer,6,1966,1966,TA,CBlock,TA,814,913,913,1727,1,TA,6,NA,Detchd,1990,Unf,1,240,124500-146800
Sawyer,5,1965,1965,TA,CBlock,TA,1040,1040,1040,2080,1,TA,5,NA,Detchd,1965,Unf,1,384,124500-146800
Mitchel,4,1982,2006,TA,CBlock,TA,845,845,845,1690,1,TA,4,NA,Detchd,1987,Unf,2,360,124500-146800
Mitchel,5,1970,1970,TA,CBlock,Gd,768,768,768,1536,1,TA,5,NA,Detchd,1987,Unf,2,624,124500-146800
OldTown,6,1917,1950,TA,BrkTil,Gd,735,1134,2058,2793,1,TA,8,Gd,Detchd,1950,Unf,2,396,124500-146800
OldTown,7,1931,1950,TA,BrkTil,TA,952,1022,1774,2726,2,TA,8,TA,Detchd,1931,Unf,2,468,124500-146800
MeadowV,5,1976,1976,TA,PConc,Gd,1040,1060,1060,2100,1,TA,6,TA,Attchd,1976,Unf,2,572,124500-146800
NAmes,5,1958,1958,TA,CBlock,TA,864,864,864,1728,1,TA,5,NA,Detchd,1964,Unf,2,624,124500-146800
NAmes,5,1957,1957,TA,CBlock,TA,816,816,816,1632,1,TA,5,NA,Detchd,1957,Unf,1,308,124500-146800
NAmes,5,1955,1955,TA,CBlock,TA,384,1360,1360,1744,1,TA,6,TA,Detchd,1962,Unf,2,572,124500-146800
Edwards,6,2004,2006,Gd,PConc,Gd,970,970,1709,2679,2,Gd,7,NA,Detchd,2004,Unf,2,380,124500-146800
Edwards,7,2004,2004,Gd,PConc,Gd,970,970,1709,2679,2,Gd,7,NA,Detchd,2004,Unf,2,380,124500-146800
OldTown,5,1929,2001,TA,BrkTil,TA,926,926,1316,2242,1,TA,6,NA,Detchd,1974,Unf,2,484,124500-146800
ClearCr,5,1958,1958,TA,CBlock,TA,1062,1352,1352,2414,1,Gd,6,NA,BuiltIn,1958,Unf,1,288,124500-146800
Sawyer,5,1967,2004,TA,PConc,TA,864,899,899,1763,1,Gd,5,NA,Attchd,1967,Fin,1,288,124500-146800
BrkSide,6,1918,2000,TA,BrkTil,TA,816,838,838,1654,1,Fa,5,NA,Detchd,1961,Fin,1,275,124500-146800
Sawyer,5,1967,2003,TA,CBlock,TA,894,894,894,1788,1,Gd,5,NA,Attchd,1967,RFn,2,450,124500-146800
SWISU,5,1911,1950,TA,PConc,TA,940,1024,1964,2904,1,TA,7,NA,NA,?,NA,0,0,124500-146800
Mitchel,5,1968,1968,TA,CBlock,TA,864,874,874,1738,1,TA,5,NA,Attchd,1968,RFn,1,288,124500-146800
Edwards,7,2004,2004,Gd,PConc,Gd,976,976,1708,2684,2,Gd,7,NA,Detchd,2004,Unf,2,380,124500-146800
CollgCr,5,1975,1980,TA,CBlock,Gd,938,938,938,1876,1,TA,5,NA,Detchd,1977,Unf,1,308,124500-146800
Sawyer,6,1976,2005,Gd,CBlock,TA,725,725,1479,2204,2,Gd,6,NA,Attchd,1976,RFn,2,475,124500-146800
Edwards,5,1946,1995,TA,CBlock,TA,768,768,1200,1968,1,TA,6,NA,Detchd,1946,Unf,1,240,124500-146800
Mitchel,5,1982,2008,Gd,CBlock,TA,816,816,816,1632,1,Gd,5,Ex,Attchd,1982,Unf,1,264,124500-146800
Edwards,5,1949,2008,TA,CBlock,TA,768,1148,1716,2484,1,TA,8,Gd,Attchd,1949,Unf,1,281,124500-146800
Mitchel,5,1983,1983,TA,CBlock,Gd,864,902,902,1766,1,TA,5,NA,Attchd,1983,Unf,2,484,124500-146800
BrkSide,6,1941,1950,TA,BrkTil,TA,735,869,1218,1953,1,TA,6,Gd,Detchd,2003,Unf,2,440,124500-146800
Sawyer,5,1961,1983,TA,CBlock,TA,864,1144,1144,2008,1,TA,6,TA,Attchd,1961,RFn,1,264,124500-146800
OldTown,5,1954,1954,TA,BrkTil,TA,1050,1050,1795,2845,2,TA,7,NA,Attchd,1954,Unf,1,352,124500-146800
CollgCr,6,2003,2003,Gd,PConc,Gd,848,848,848,1696,1,Gd,3,NA,Attchd,2003,Fin,2,420,124500-146800
Sawyer,5,1965,1965,TA,PConc,TA,1039,1039,1039,2078,1,TA,6,NA,Attchd,1965,Unf,2,504,124500-146800
BrkSide,7,1929,2001,TA,BrkTil,TA,832,854,854,1686,1,TA,5,NA,Detchd,1991,Unf,2,576,124500-146800
NAmes,6,1948,2002,TA,CBlock,TA,972,972,972,1944,1,TA,5,Gd,Detchd,1948,Unf,1,240,124500-146800
NAmes,5,1954,1954,TA,PConc,TA,1268,1268,1268,2536,1,TA,7,Gd,Attchd,1954,Fin,1,244,124500-146800
NAmes,5,1956,2000,TA,CBlock,Gd,928,928,928,1856,1,TA,4,NA,Attchd,1956,Unf,1,252,124500-146800
OldTown,5,1910,2002,TA,BrkTil,Fa,264,768,1432,1696,2,TA,7,NA,Detchd,1910,Unf,2,360,124500-146800
Sawyer,5,1962,1962,TA,CBlock,TA,1057,1057,1057,2114,1,TA,6,NA,Detchd,1977,Fin,2,576,124500-146800
Mitchel,4,1963,1963,TA,PConc,TA,1064,1040,1040,2104,1,TA,5,NA,Attchd,1963,Unf,2,648,124500-146800
Sawyer,5,1963,1963,TA,CBlock,TA,970,970,970,1940,1,TA,5,NA,Detchd,1996,Unf,2,624,124500-146800
Sawyer,5,1962,2001,TA,CBlock,TA,999,999,999,1998,1,Gd,6,NA,Detchd,1963,Unf,1,264,124500-146800
NAmes,5,1959,1959,TA,CBlock,TA,1148,1148,1148,2296,1,TA,6,NA,Attchd,1959,Unf,1,672,124500-146800
NAmes,5,1962,1962,TA,CBlock,TA,1106,1190,1190,2296,1,TA,6,NA,Attchd,1962,Unf,2,540,124500-146800
BrkSide,6,1939,1950,TA,CBlock,TA,780,825,1412,2192,1,TA,6,Gd,Detchd,1939,Unf,1,280,124500-146800
CollgCr,5,1976,1976,TA,CBlock,TA,911,954,954,1865,1,TA,6,NA,Detchd,1976,Unf,2,576,124500-146800
NAmes,6,1941,1950,TA,CBlock,TA,806,958,1578,2384,1,Fa,5,TA,Attchd,1941,Unf,1,240,124500-146800
NAmes,7,1998,1998,TA,PConc,Gd,723,767,767,1490,1,TA,4,NA,Attchd,1998,Fin,1,367,124500-146800
BrkSide,4,1935,1995,TA,BrkTil,TA,884,989,1573,2457,1,Gd,6,NA,Detchd,1935,Unf,1,240,124500-146800
NAmes,5,1949,1950,Gd,CBlock,TA,832,1036,1268,2100,1,TA,6,Gd,Attchd,1949,Unf,1,288,124500-146800
Sawyer,5,1963,1963,TA,CBlock,TA,1040,1040,1040,2080,1,TA,5,NA,Attchd,1963,Fin,1,308,124500-146800
CollgCr,5,1972,2007,TA,CBlock,Gd,768,768,768,1536,1,TA,5,NA,Detchd,1988,Unf,2,396,124500-146800
CollgCr,5,1972,1972,TA,CBlock,TA,864,864,864,1728,1,TA,5,Fa,Attchd,1972,Unf,1,338,124500-146800
NAmes,5,1959,1959,TA,CBlock,TA,1040,1040,1040,2080,1,TA,6,NA,Attchd,1959,RFn,1,286,124500-146800
OldTown,6,1910,1998,TA,BrkTil,TA,1214,1260,2291,3505,2,TA,9,Gd,Detchd,1900,Unf,2,506,124500-146800
CollgCr,5,1972,2003,TA,CBlock,Gd,768,768,768,1536,1,TA,5,NA,Detchd,1974,Fin,1,396,124500-146800
MeadowV,5,1976,1976,TA,PConc,Gd,1142,1142,1142,2284,1,TA,6,Po,Attchd,1976,Fin,2,528,124500-146800
Mitchel,6,1983,1983,TA,PConc,TA,1084,1080,1080,2164,1,TA,5,NA,Attchd,1983,Unf,2,484,124500-146800
Sawyer,5,1968,1968,TA,CBlock,TA,952,1211,1211,2163,1,TA,5,TA,Attchd,1968,Unf,1,322,124500-146800
